Age,Attrition,Department,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,YearsAtCompany,AgeGroup,SalaryLevel,YearsGroup,,,,,,,,
24.00,No,Research & Development,2.00,Single,3597.00,No,4.00,20-29,Medium,3-5,,,,,,,,
28.00,Yes,Research & Development,4.00,Married,2515.00,Yes,1.00,20-29,Low,0-2,,,,,,,,
26.00,No,Research & Development,4.00,Married,4420.00,No,8.00,20-29,Medium,6+,,,,,,,,
30.00,No,Sales,3.00,Married,6578.00,No,10.00,30-39,Medium,6+,,,,,,,,
40.00,No,Research & Development,4.00,Married,4422.00,Yes,1.00,40-49,Medium,0-2,,,,,,,,
35.00,No,Research & Development,2.00,Divorced,10274.00,No,7.00,30-39,High,6+,,,,,,,,
34.00,No,Research & Development,1.00,Single,5343.00,No,13.00,30-39,Medium,6+,,,,,,,,
35.00,No,Research & Development,4.00,Married,2376.00,No,2.00,30-39,Low,0-2,,,,,,,,
43.00,Yes,Sales,3.00,Single,5346.00,No,4.00,40-49,Medium,3-5,,,,,,,,
32.00,No,Sales,1.00,Divorced,2827.00,No,1.00,30-39,Low,0-2,,,,,,,,
56.00,No,Research & Development,1.00,Divorced,19943.00,No,5.00,50+,High,3-5,,,,,,,,
29.00,No,Research & Development,4.00,Married,3131.00,No,10.00,20-29,Medium,6+,,,,,,,,
19.00,No,Research & Development,1.00,Single,2552.00,No,1.00,20-29,Low,0-2,,,,,,,,
45.00,No,Research & Development,3.00,Married,4477.00,Yes,3.00,40-49,Medium,3-5,,,,,,,,
37.00,No,Research & Development,4.00,Married,6474.00,No,14.00,30-39,Medium,6+,,,,,,,,
20.00,No,Research & Development,3.00,Single,3033.00,No,2.00,20-29,Medium,0-2,,,,,,,,
44.00,Yes,Research & Development,3.00,Single,2936.00,Yes,6.00,40-49,Low,6+,,,,,,,,
53.00,No,Research & Development,3.00,Divorced,18606.00,No,7.00,50+,High,6+,,,,,,,,
29.00,No,Research & Development,4.00,Married,2168.00,Yes,5.00,20-29,Low,3-5,,,,,,,,
22.00,Yes,Research & Development,4.00,Married,2853.00,Yes,0.00,20-29,Low,0-2,,,,,,,,
46.00,No,Sales,1.00,Married,17048.00,No,26.00,40-49,High,6+,,,,,,,,
44.00,No,Research & Development,3.00,Single,2290.00,No,0.00,40-49,Low,0-2,,,,,,,,
33.00,No,Human Resources,3.00,Married,3600.00,No,5.00,30-39,Medium,3-5,,,,,,,,
41.00,Yes,Research & Development,1.00,Divorced,2107.00,No,1.00,40-49,Low,0-2,,,,,,,,
30.00,No,Sales,1.00,Divorced,4115.00,No,4.00,30-39,Medium,3-5,,,,,,,,
40.00,No,Sales,2.00,Married,4327.00,No,0.00,40-49,Medium,0-2,,,,,,,,
50.00,No,Research & Development,1.00,Married,17856.00,No,2.00,50+,High,0-2,,,,,,,,
28.00,No,Research & Development,1.00,Married,3196.00,No,6.00,20-29,Medium,6+,,,,,,,,
46.00,No,Research & Development,2.00,Married,19081.00,No,4.00,40-49,High,3-5,,,,,,,,
35.00,No,Sales,1.00,Married,8966.00,Yes,7.00,30-39,High,6+,,,,,,,,
24.00,Yes,Research & Development,2.00,Married,2210.00,No,1.00,20-29,Low,0-2,,,,,,,,
33.00,No,Sales,3.00,Married,4539.00,No,10.00,30-39,Medium,6+,,,,,,,,
36.00,No,Research & Development,3.00,Divorced,2741.00,No,7.00,30-39,Low,6+,,,,,,,,
30.00,No,Research & Development,3.00,Divorced,3491.00,No,10.00,30-39,Medium,6+,,,,,,,,
44.00,No,Research & Development,4.00,Single,4541.00,No,20.00,40-49,Medium,6+,,,,,,,,
20.00,No,Sales,4.00,Single,2678.00,No,2.00,20-29,Low,0-2,,,,,,,,
46.00,No,Research & Development,4.00,Divorced,7379.00,No,6.00,40-49,High,6+,,,,,,,,
42.00,No,Human Resources,1.00,Married,6272.00,No,4.00,40-49,Medium,3-5,,,,,,,,
60.00,No,Sales,4.00,Divorced,5220.00,Yes,11.00,50+,Medium,6+,,,,,,,,
32.00,No,Research & Development,2.00,Married,2743.00,No,2.00,30-39,Low,0-2,,,,,,,,
32.00,No,Research & Development,3.00,Single,4998.00,Yes,8.00,30-39,Medium,6+,,,,,,,,
36.00,No,Research & Development,1.00,Divorced,10252.00,Yes,7.00,30-39,High,6+,,,,,,,,
33.00,No,Research & Development,4.00,Married,2781.00,No,14.00,30-39,Low,6+,,,,,,,,
40.00,No,Sales,2.00,Divorced,6852.00,No,5.00,40-49,Medium,3-5,,,,,,,,
25.00,No,Sales,4.00,Single,4950.00,No,4.00,20-29,Medium,3-5,,,,,,,,
30.00,No,Research & Development,2.00,Married,3579.00,Yes,11.00,30-39,Medium,6+,,,,,,,,
42.00,No,Research & Development,1.00,Married,13191.00,Yes,1.00,40-49,High,0-2,,,,,,,,
35.00,No,Sales,4.00,Married,10377.00,Yes,13.00,30-39,High,6+,,,,,,,,
27.00,No,Research & Development,1.00,Married,2235.00,Yes,9.00,20-29,Low,6+,,,,,,,,
54.00,No,Research & Development,3.00,Divorced,10502.00,No,5.00,50+,High,3-5,,,,,,,,
44.00,No,Research & Development,4.00,Married,2011.00,No,10.00,40-49,Low,6+,,,,,,,,
19.00,Yes,Research & Development,2.00,Single,1859.00,Yes,1.00,20-29,Low,0-2,,,,,,,,
29.00,No,Research & Development,4.00,Divorced,3760.00,No,3.00,20-29,Medium,3-5,,,,,,,,
54.00,No,Research & Development,4.00,Married,17779.00,No,10.00,50+,High,6+,,,,,,,,
31.00,No,Research & Development,1.00,Married,6833.00,Yes,6.00,30-39,Medium,6+,,,,,,,,
31.00,No,Research & Development,1.00,Single,6812.00,No,10.00,30-39,Medium,6+,,,,,,,,
59.00,No,Sales,4.00,Single,5171.00,No,6.00,50+,Medium,6+,,,,,,,,
43.00,No,Research & Development,4.00,Married,19740.00,No,8.00,40-49,High,6+,,,,,,,,
49.00,No,Research & Development,3.00,Married,18711.00,No,1.00,40-49,High,0-2,,,,,,,,
36.00,No,Research & Development,2.00,Married,3692.00,No,11.00,30-39,Medium,6+,,,,,,,,
48.00,No,Research & Development,2.00,Single,2559.00,No,1.00,40-49,Low,0-2,,,,,,,,
27.00,No,Research & Development,3.00,Divorced,2517.00,No,5.00,20-29,Low,3-5,,,,,,,,
29.00,No,Research & Development,4.00,Divorced,6623.00,Yes,6.00,20-29,Medium,6+,,,,,,,,
48.00,No,Research & Development,4.00,Single,18265.00,No,1.00,40-49,High,0-2,,,,,,,,
29.00,No,Research & Development,4.00,Divorced,16124.00,No,7.00,20-29,High,6+,,,,,,,,
34.00,No,Research & Development,3.00,Married,2585.00,No,1.00,30-39,Low,0-2,,,,,,,,
44.00,No,Sales,2.00,Married,18213.00,No,22.00,40-49,High,6+,,,,,,,,
33.00,No,Sales,3.00,Divorced,8380.00,Yes,9.00,30-39,High,6+,,,,,,,,
19.00,No,Research & Development,4.00,Single,2994.00,Yes,1.00,20-29,Low,0-2,,,,,,,,
23.00,No,Research & Development,3.00,Married,1223.00,No,1.00,20-29,Low,0-2,,,,,,,,
25.00,Yes,Sales,4.00,Single,1118.00,Yes,1.00,20-29,Low,0-2,,,,,,,,
26.00,No,Research & Development,4.00,Single,2875.00,Yes,8.00,20-29,Low,6+,,,,,,,,
45.00,Yes,Sales,2.00,Single,18824.00,Yes,24.00,40-49,High,6+,,,,,,,,
55.00,No,Research & Development,2.00,Divorced,13577.00,Yes,33.00,50+,High,6+,,,,,,,,
21.00,Yes,Research & Development,3.00,Single,2625.00,No,2.00,20-29,Low,0-2,,,,,,,,
46.00,No,Sales,2.00,Married,18789.00,No,11.00,40-49,High,6+,,,,,,,,
34.00,No,Sales,1.00,Single,4538.00,Yes,3.00,30-39,Medium,3-5,,,,,,,,
51.00,No,Sales,2.00,Divorced,19847.00,Yes,29.00,50+,High,6+,,,,,,,,
59.00,No,Research & Development,4.00,Single,10512.00,No,9.00,50+,High,6+,,,,,,,,
34.00,No,Research & Development,2.00,Divorced,4444.00,No,11.00,30-39,Medium,6+,,,,,,,,
28.00,No,Research & Development,3.00,Single,2154.00,Yes,4.00,20-29,Low,3-5,,,,,,,,
44.00,No,Research & Development,1.00,Divorced,19190.00,No,25.00,40-49,High,6+,,,,,,,,
34.00,No,Human Resources,2.00,Married,4490.00,No,10.00,30-39,Medium,6+,,,,,,,,
35.00,No,Research & Development,3.00,Married,3506.00,Yes,3.00,30-39,Medium,3-5,,,,,,,,
42.00,No,Research & Development,2.00,Married,2372.00,Yes,1.00,40-49,Low,0-2,,,,,,,,
43.00,No,Sales,4.00,Single,10231.00,No,21.00,40-49,High,6+,,,,,,,,
36.00,No,Research & Development,2.00,Single,5410.00,Yes,16.00,30-39,Medium,6+,,,,,,,,
44.00,Yes,Research & Development,4.00,Married,7978.00,No,10.00,40-49,High,6+,,,,,,,,
28.00,No,Research & Development,4.00,Married,3867.00,Yes,2.00,20-29,Medium,0-2,,,,,,,,
51.00,No,Research & Development,3.00,Single,2838.00,No,7.00,50+,Low,6+,,,,,,,,
30.00,No,Research & Development,3.00,Single,4695.00,Yes,8.00,30-39,Medium,6+,,,,,,,,
29.00,Yes,Research & Development,3.00,Divorced,3339.00,Yes,7.00,20-29,Medium,6+,,,,,,,,
28.00,No,Research & Development,1.00,Single,2080.00,No,3.00,20-29,Low,3-5,,,,,,,,
25.00,No,Research & Development,2.00,Single,2096.00,No,2.00,20-29,Low,0-2,,,,,,,,
32.00,No,Sales,4.00,Married,6209.00,No,10.00,30-39,Medium,6+,,,,,,,,
45.00,No,Research & Development,2.00,Single,18061.00,No,0.00,40-49,High,0-2,,,,,,,,
39.00,No,Research & Development,2.00,Divorced,17123.00,Yes,19.00,30-39,High,6+,,,,,,,,
58.00,No,Research & Development,3.00,Divorced,2372.00,No,2.00,50+,Low,0-2,,,,,,,,
32.00,Yes,Research & Development,3.00,Married,4883.00,No,10.00,30-39,Medium,6+,,,,,,,,
39.00,Yes,Research & Development,1.00,Single,3904.00,No,5.00,30-39,Medium,3-5,,,,,,,,
30.00,No,Research & Development,4.00,Married,4627.00,No,9.00,30-39,Medium,6+,,,,,,,,
36.00,No,Research & Development,3.00,Married,7094.00,No,7.00,30-39,High,6+,,,,,,,,
46.00,No,Human Resources,1.00,Single,3423.00,No,7.00,40-49,Medium,6+,,,,,,,,
28.00,No,Research & Development,4.00,Married,6674.00,No,9.00,20-29,Medium,6+,,,,,,,,
50.00,No,Research & Development,1.00,Married,16880.00,Yes,3.00,50+,High,3-5,,,,,,,,
40.00,Yes,Sales,2.00,Single,9094.00,Yes,5.00,40-49,High,3-5,,,,,,,,
52.00,Yes,Sales,2.00,Single,8446.00,Yes,8.00,50+,High,6+,,,,,,,,
30.00,No,Research & Development,1.00,Married,11916.00,Yes,9.00,30-39,High,6+,,,,,,,,
39.00,No,Research & Development,3.00,Single,4534.00,No,8.00,30-39,Medium,6+,,,,,,,,
31.00,No,Sales,3.00,Divorced,9852.00,Yes,10.00,30-39,High,6+,,,,,,,,
41.00,No,Sales,2.00,Single,6151.00,No,19.00,40-49,Medium,6+,,,,,,,,
31.00,Yes,Sales,2.00,Single,2302.00,Yes,3.00,30-39,Low,3-5,,,,,,,,
44.00,Yes,Research & Development,1.00,Married,2362.00,No,3.00,40-49,Low,3-5,,,,,,,,
42.00,No,Research & Development,3.00,Married,17861.00,Yes,20.00,40-49,High,6+,,,,,,,,
55.00,No,Research & Development,3.00,Married,19187.00,No,19.00,50+,High,6+,,,,,,,,
56.00,No,Human Resources,2.00,Single,19717.00,No,7.00,50+,High,6+,,,,,,,,
40.00,No,Research & Development,3.00,Divorced,3544.00,No,4.00,40-49,Medium,3-5,,,,,,,,
34.00,No,Research & Development,4.00,Divorced,8500.00,No,9.00,30-39,High,6+,,,,,,,,
40.00,No,Research & Development,4.00,Single,4661.00,No,9.00,40-49,Medium,6+,,,,,,,,
41.00,No,Sales,1.00,Divorced,4103.00,No,9.00,40-49,Medium,6+,,,,,,,,
35.00,No,Research & Development,3.00,Single,4249.00,Yes,9.00,30-39,Medium,6+,,,,,,,,
51.00,No,Human Resources,2.00,Divorced,14026.00,Yes,33.00,50+,High,6+,,,,,,,,
38.00,No,Sales,1.00,Divorced,6893.00,No,7.00,30-39,Medium,6+,,,,,,,,
34.00,No,Sales,1.00,Single,6125.00,No,10.00,30-39,Medium,6+,,,,,,,,
25.00,No,Research & Development,4.00,Married,3669.00,No,3.00,20-29,Medium,3-5,,,,,,,,
58.00,Yes,Research & Development,1.00,Married,10008.00,Yes,10.00,50+,High,6+,,,,,,,,
40.00,No,Research & Development,2.00,Married,2387.00,No,4.00,40-49,Low,3-5,,,,,,,,
36.00,No,Sales,1.00,Married,4639.00,No,15.00,30-39,Medium,6+,,,,,,,,
48.00,No,Research & Development,4.00,Single,7898.00,No,10.00,40-49,High,6+,,,,,,,,
27.00,No,Sales,4.00,Married,2534.00,No,1.00,20-29,Low,0-2,,,,,,,,
51.00,No,Research & Development,2.00,Single,13142.00,No,5.00,50+,High,3-5,,,,,,,,
18.00,No,Research & Development,4.00,Single,1611.00,No,0.00,20-29,Low,0-2,,,,,,,,
35.00,No,Research & Development,4.00,Married,5363.00,No,9.00,30-39,Medium,6+,,,,,,,,
27.00,No,Sales,4.00,Single,5071.00,No,6.00,20-29,Medium,6+,,,,,,,,
55.00,Yes,Sales,3.00,Single,13695.00,Yes,19.00,50+,High,6+,,,,,,,,
56.00,No,Research & Development,2.00,Married,13402.00,Yes,19.00,50+,High,6+,,,,,,,,
34.00,No,Research & Development,3.00,Divorced,2029.00,No,5.00,30-39,Low,3-5,,,,,,,,
40.00,No,Research & Development,3.00,Divorced,6377.00,No,12.00,40-49,Medium,6+,,,,,,,,
34.00,No,Research & Development,3.00,Married,5429.00,No,8.00,30-39,Medium,6+,,,,,,,,
31.00,Yes,Sales,4.00,Single,2785.00,No,1.00,30-39,Low,0-2,,,,,,,,
35.00,Yes,Sales,3.00,Married,4614.00,Yes,4.00,30-39,Medium,3-5,,,,,,,,
38.00,No,Research & Development,3.00,Divorced,2610.00,No,4.00,30-39,Low,3-5,,,,,,,,
34.00,No,Research & Development,4.00,Single,6687.00,No,14.00,30-39,Medium,6+,,,,,,,,
28.00,No,Sales,1.00,Married,4724.00,No,5.00,20-29,Medium,3-5,,,,,,,,
31.00,Yes,Research & Development,3.00,Married,6179.00,Yes,10.00,30-39,Medium,6+,,,,,,,,
39.00,No,Sales,4.00,Married,6120.00,Yes,5.00,30-39,Medium,3-5,,,,,,,,
51.00,No,Sales,2.00,Married,10596.00,No,4.00,50+,High,3-5,,,,,,,,
41.00,No,Research & Development,4.00,Divorced,5467.00,Yes,6.00,40-49,Medium,6+,,,,,,,,
37.00,No,Research & Development,3.00,Married,2996.00,Yes,6.00,30-39,Low,6+,,,,,,,,
33.00,No,Sales,4.00,Married,9998.00,No,5.00,30-39,High,3-5,,,,,,,,
32.00,No,Sales,2.00,Married,4078.00,Yes,3.00,30-39,Medium,3-5,,,,,,,,
39.00,No,Research & Development,3.00,Married,10920.00,No,6.00,30-39,High,6+,,,,,,,,
25.00,No,Sales,3.00,Married,6232.00,No,3.00,20-29,Medium,3-5,,,,,,,,
52.00,No,Research & Development,3.00,Married,13247.00,Yes,5.00,50+,High,3-5,,,,,,,,
43.00,No,Research & Development,3.00,Single,4081.00,Yes,20.00,40-49,Medium,6+,,,,,,,,
27.00,No,Sales,4.00,Married,5769.00,Yes,6.00,20-29,Medium,6+,,,,,,,,
27.00,Yes,Research & Development,3.00,Single,2394.00,Yes,8.00,20-29,Low,6+,,,,,,,,
26.00,No,Research & Development,4.00,Single,3904.00,No,4.00,20-29,Medium,3-5,,,,,,,,
42.00,No,Human Resources,1.00,Married,16799.00,No,20.00,40-49,High,6+,,,,,,,,
52.00,No,Research & Development,1.00,Married,2950.00,No,5.00,50+,Low,3-5,,,,,,,,
37.00,No,Research & Development,3.00,Single,3629.00,No,3.00,30-39,Medium,3-5,,,,,,,,
35.00,No,Research & Development,4.00,Single,9362.00,No,2.00,30-39,High,0-2,,,,,,,,
25.00,No,Research & Development,4.00,Married,3229.00,No,3.00,20-29,Medium,3-5,,,,,,,,
26.00,No,Research & Development,1.00,Single,3578.00,No,7.00,20-29,Medium,6+,,,,,,,,
29.00,No,Human Resources,1.00,Single,7988.00,No,10.00,20-29,High,6+,,,,,,,,
49.00,Yes,Research & Development,1.00,Single,4284.00,No,4.00,40-49,Medium,3-5,,,,,,,,
29.00,Yes,Research & Development,4.00,Single,7553.00,Yes,8.00,20-29,High,6+,,,,,,,,
54.00,No,Research & Development,4.00,Single,17328.00,No,20.00,50+,High,6+,,,,,,,,
58.00,No,Research & Development,1.00,Married,19701.00,Yes,9.00,50+,High,6+,,,,,,,,
55.00,No,Research & Development,4.00,Divorced,14732.00,No,7.00,50+,High,6+,,,,,,,,
36.00,No,Sales,2.00,Single,9278.00,Yes,5.00,30-39,High,3-5,,,,,,,,
31.00,Yes,Sales,3.00,Single,1359.00,No,1.00,30-39,Low,0-2,,,,,,,,
30.00,No,Sales,1.00,Divorced,4779.00,No,3.00,30-39,Medium,3-5,,,,,,,,
31.00,No,Research & Development,2.00,Single,16422.00,No,3.00,30-39,High,3-5,,,,,,,,
34.00,No,Research & Development,1.00,Divorced,2996.00,No,4.00,30-39,Low,3-5,,,,,,,,
31.00,Yes,Research & Development,2.00,Single,1261.00,No,1.00,30-39,Low,0-2,,,,,,,,
27.00,No,Research & Development,1.00,Married,2099.00,No,5.00,20-29,Low,3-5,,,,,,,,
36.00,No,Research & Development,4.00,Single,5810.00,No,10.00,30-39,Medium,6+,,,,,,,,
36.00,No,Sales,1.00,Married,5647.00,No,3.00,30-39,Medium,3-5,,,,,,,,
47.00,No,Research & Development,4.00,Married,3420.00,No,6.00,40-49,Medium,6+,,,,,,,,
25.00,Yes,Sales,1.00,Married,4400.00,No,3.00,20-29,Medium,3-5,,,,,,,,
37.00,No,Research & Development,3.00,Single,3500.00,No,6.00,30-39,Medium,6+,,,,,,,,
56.00,No,Research & Development,1.00,Married,2066.00,No,3.00,50+,Low,3-5,,,,,,,,
47.00,No,Research & Development,3.00,Married,17169.00,No,20.00,40-49,High,6+,,,,,,,,
24.00,No,Sales,3.00,Married,4162.00,Yes,5.00,20-29,Medium,3-5,,,,,,,,
32.00,No,Sales,4.00,Married,9204.00,No,4.00,30-39,High,3-5,,,,,,,,
34.00,No,Research & Development,2.00,Married,3294.00,No,5.00,30-39,Medium,3-5,,,,,,,,
41.00,No,Research & Development,3.00,Married,2127.00,Yes,4.00,40-49,Low,3-5,,,,,,,,
40.00,No,Research & Development,3.00,Divorced,3975.00,No,8.00,40-49,Medium,6+,,,,,,,,
31.00,No,Sales,4.00,Divorced,10793.00,No,13.00,30-39,High,6+,,,,,,,,
46.00,Yes,Sales,4.00,Divorced,10096.00,No,7.00,40-49,High,6+,,,,,,,,
39.00,Yes,Research & Development,1.00,Single,3646.00,Yes,1.00,30-39,Medium,0-2,,,,,,,,
31.00,Yes,Research & Development,2.00,Single,7446.00,No,10.00,30-39,High,6+,,,,,,,,
45.00,No,Research & Development,1.00,Divorced,10851.00,Yes,7.00,40-49,High,6+,,,,,,,,
31.00,No,Human Resources,2.00,Single,2109.00,No,3.00,30-39,Low,3-5,,,,,,,,
31.00,Yes,Research & Development,4.00,Married,3722.00,Yes,2.00,30-39,Medium,0-2,,,,,,,,
45.00,No,Research & Development,4.00,Married,9380.00,Yes,3.00,40-49,High,3-5,,,,,,,,
48.00,No,Sales,1.00,Divorced,5486.00,No,2.00,40-49,Medium,0-2,,,,,,,,
34.00,Yes,Human Resources,3.00,Married,2742.00,No,2.00,30-39,Low,0-2,,,,,,,,
40.00,No,Research & Development,2.00,Divorced,13757.00,No,9.00,40-49,High,6+,,,,,,,,
28.00,No,Sales,1.00,Single,8463.00,No,5.00,20-29,High,3-5,,,,,,,,
44.00,No,Research & Development,3.00,Single,3162.00,No,5.00,40-49,Medium,3-5,,,,,,,,
53.00,No,Research & Development,2.00,Single,16598.00,No,9.00,50+,High,6+,,,,,,,,
49.00,No,Research & Development,3.00,Married,6651.00,No,3.00,40-49,Medium,3-5,,,,,,,,
40.00,No,Research & Development,3.00,Divorced,2345.00,No,3.00,40-49,Low,3-5,,,,,,,,
44.00,No,Research & Development,2.00,Single,3420.00,No,5.00,40-49,Medium,3-5,,,,,,,,
33.00,No,Sales,1.00,Married,4373.00,No,4.00,30-39,Medium,3-5,,,,,,,,
34.00,No,Sales,1.00,Single,4759.00,No,13.00,30-39,Medium,6+,,,,,,,,
30.00,No,Sales,3.00,Married,5301.00,No,2.00,30-39,Medium,0-2,,,,,,,,
42.00,No,Research & Development,4.00,Single,3673.00,No,12.00,40-49,Medium,6+,,,,,,,,
44.00,No,Sales,3.00,Married,4768.00,No,1.00,40-49,Medium,0-2,,,,,,,,
30.00,No,Research & Development,3.00,Divorced,1274.00,No,1.00,30-39,Low,0-2,,,,,,,,
57.00,No,Research & Development,3.00,Married,4900.00,No,12.00,50+,Medium,6+,,,,,,,,
49.00,No,Research & Development,2.00,Divorced,10466.00,No,8.00,40-49,High,6+,,,,,,,,
34.00,No,Research & Development,1.00,Divorced,17007.00,No,14.00,30-39,High,6+,,,,,,,,
28.00,Yes,Sales,3.00,Married,2909.00,No,3.00,20-29,Low,3-5,,,,,,,,
29.00,Yes,Sales,2.00,Single,5765.00,No,5.00,20-29,Medium,3-5,,,,,,,,
34.00,Yes,Sales,2.00,Single,4599.00,Yes,15.00,30-39,Medium,6+,,,,,,,,
35.00,No,Sales,3.00,Married,2404.00,No,1.00,30-39,Low,0-2,,,,,,,,
24.00,Yes,Research & Development,1.00,Single,3172.00,Yes,0.00,20-29,Medium,0-2,,,,,,,,
24.00,No,Sales,2.00,Married,2033.00,No,1.00,20-29,Low,0-2,,,,,,,,
44.00,No,Research & Development,3.00,Single,10209.00,Yes,2.00,40-49,High,0-2,,,,,,,,
29.00,No,Sales,3.00,Divorced,8620.00,No,10.00,20-29,High,6+,,,,,,,,
30.00,No,Human Resources,3.00,Divorced,2064.00,No,5.00,30-39,Low,3-5,,,,,,,,
55.00,No,Research & Development,3.00,Married,4035.00,Yes,3.00,50+,Medium,3-5,,,,,,,,
33.00,No,Research & Development,2.00,Married,3838.00,No,5.00,30-39,Medium,3-5,,,,,,,,
47.00,No,Sales,3.00,Married,4591.00,Yes,5.00,40-49,Medium,3-5,,,,,,,,
28.00,Yes,Research & Development,1.00,Single,2561.00,No,0.00,20-29,Low,0-2,,,,,,,,
28.00,No,Research & Development,3.00,Divorced,1563.00,No,1.00,20-29,Low,0-2,,,,,,,,
28.00,No,Sales,1.00,Single,4898.00,No,4.00,20-29,Medium,3-5,,,,,,,,
49.00,No,Research & Development,1.00,Married,4789.00,No,3.00,40-49,Medium,3-5,,,,,,,,
29.00,No,Research & Development,2.00,Married,3180.00,No,3.00,20-29,Medium,3-5,,,,,,,,
28.00,No,Research & Development,2.00,Married,6549.00,No,8.00,20-29,Medium,6+,,,,,,,,
33.00,No,Research & Development,3.00,Single,6388.00,Yes,0.00,30-39,Medium,0-2,,,,,,,,
32.00,No,Research & Development,4.00,Single,11244.00,No,5.00,30-39,High,3-5,,,,,,,,
54.00,No,Research & Development,4.00,Divorced,16032.00,No,14.00,50+,High,6+,,,,,,,,
29.00,Yes,Research & Development,1.00,Single,2362.00,No,9.00,20-29,Low,6+,,,,,,,,
44.00,No,Research & Development,1.00,Married,16328.00,No,20.00,40-49,High,6+,,,,,,,,
39.00,No,Research & Development,2.00,Single,8376.00,No,2.00,30-39,High,0-2,,,,,,,,
46.00,No,Sales,2.00,Married,16606.00,No,13.00,40-49,High,6+,,,,,,,,
35.00,No,Research & Development,2.00,Single,8606.00,No,11.00,30-39,High,6+,,,,,,,,
23.00,No,Research & Development,3.00,Single,2272.00,No,4.00,20-29,Low,3-5,,,,,,,,
40.00,Yes,Research & Development,1.00,Single,2018.00,No,5.00,40-49,Low,3-5,,,,,,,,
34.00,No,Sales,3.00,Married,7083.00,Yes,10.00,30-39,High,6+,,,,,,,,
31.00,Yes,Research & Development,3.00,Single,4084.00,No,7.00,30-39,Medium,6+,,,,,,,,
50.00,No,Research & Development,4.00,Single,14411.00,Yes,32.00,50+,High,6+,,,,,,,,
34.00,No,Sales,3.00,Married,2308.00,Yes,11.00,30-39,Low,6+,,,,,,,,
42.00,No,Research & Development,2.00,Married,4841.00,No,1.00,40-49,Medium,0-2,,,,,,,,
37.00,No,Research & Development,4.00,Married,4285.00,No,10.00,30-39,Medium,6+,,,,,,,,
29.00,No,Research & Development,1.00,Married,9715.00,No,7.00,20-29,High,6+,,,,,,,,
33.00,No,Research & Development,2.00,Single,4320.00,No,5.00,30-39,Medium,3-5,,,,,,,,
45.00,No,Research & Development,4.00,Married,2132.00,No,5.00,40-49,Low,3-5,,,,,,,,
42.00,No,Research & Development,4.00,Married,10124.00,Yes,20.00,40-49,High,6+,,,,,,,,
40.00,No,Sales,1.00,Married,5473.00,No,8.00,40-49,Medium,6+,,,,,,,,
33.00,No,Research & Development,3.00,Married,5207.00,Yes,15.00,30-39,Medium,6+,,,,,,,,
40.00,No,Human Resources,4.00,Single,16437.00,Yes,21.00,40-49,High,6+,,,,,,,,
24.00,No,Research & Development,1.00,Divorced,2296.00,No,1.00,20-29,Low,0-2,,,,,,,,
40.00,No,Research & Development,4.00,Divorced,4069.00,Yes,2.00,40-49,Medium,0-2,,,,,,,,
45.00,No,Research & Development,2.00,Divorced,7441.00,No,10.00,40-49,High,6+,,,,,,,,
35.00,No,Sales,3.00,Married,2430.00,No,5.00,30-39,Low,3-5,,,,,,,,
32.00,No,Research & Development,2.00,Married,5878.00,No,7.00,30-39,Medium,6+,,,,,,,,
36.00,No,Sales,4.00,Single,2644.00,Yes,3.00,30-39,Low,3-5,,,,,,,,
48.00,No,Sales,3.00,Divorced,6439.00,No,8.00,40-49,Medium,6+,,,,,,,,
29.00,No,Research & Development,3.00,Married,2451.00,No,1.00,20-29,Low,0-2,,,,,,,,
33.00,No,Sales,1.00,Married,6392.00,No,2.00,30-39,Medium,0-2,,,,,,,,
30.00,Yes,Sales,1.00,Married,9714.00,No,10.00,30-39,High,6+,,,,,,,,
38.00,No,Human Resources,3.00,Married,6077.00,No,6.00,30-39,Medium,6+,,,,,,,,
35.00,No,Research & Development,1.00,Single,2450.00,No,3.00,30-39,Low,3-5,,,,,,,,
30.00,No,Sales,2.00,Married,9250.00,No,4.00,30-39,High,3-5,,,,,,,,
35.00,Yes,Research & Development,1.00,Divorced,2074.00,Yes,1.00,30-39,Low,0-2,,,,,,,,
53.00,Yes,Research & Development,4.00,Married,10169.00,No,33.00,50+,High,6+,,,,,,,,
38.00,Yes,Research & Development,2.00,Married,4855.00,No,5.00,30-39,Medium,3-5,,,,,,,,
32.00,No,Research & Development,1.00,Married,4087.00,No,6.00,30-39,Medium,6+,,,,,,,,
48.00,No,Research & Development,1.00,Married,2367.00,No,8.00,40-49,Low,6+,,,,,,,,
34.00,No,Research & Development,4.00,Single,2972.00,No,1.00,30-39,Low,0-2,,,,,,,,
55.00,No,Sales,4.00,Married,19586.00,No,36.00,50+,High,6+,,,,,,,,
34.00,No,Research & Development,4.00,Married,5484.00,No,2.00,30-39,Medium,0-2,,,,,,,,
26.00,No,Research & Development,4.00,Married,2061.00,No,1.00,20-29,Low,0-2,,,,,,,,
38.00,No,Sales,2.00,Married,9924.00,No,9.00,30-39,High,6+,,,,,,,,
38.00,No,Sales,2.00,Single,4198.00,No,3.00,30-39,Medium,3-5,,,,,,,,
36.00,No,Sales,3.00,Single,6815.00,No,1.00,30-39,Medium,0-2,,,,,,,,
29.00,No,Research & Development,1.00,Single,4723.00,Yes,10.00,20-29,Medium,6+,,,,,,,,
